This file contains all winter wheat cultivars used by Phenology MMS. The format is
      as follows:

*** 
<Variety name>
GDD,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
GDDstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVS,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVSstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
THREE ***  THE DATA BEGINS BELOW THIS LINE!!!


The data will be read after the line that contains 3 asterisks (***), which separates
each variety.

The line following the 3 asterisks line gives the variety name.

The next four lines give either the unstressed growing degree-days (first line), stressed
growing degree-days (second line), unstressed number of leaves (third line), or stressed
number of leaves (fourth line) for each of the intervals.

Each variety is separated by three asterisks.  

Type: HRW = Hard Red Winter; HWW = Hard White Winter
Maturity: EM = Early (1,2,3); MM = Medium (4,5,6); LM = Late (7,8,9)
Height: S = Short (1,2,3); M = Medium (4,5,6); T = Tall (7,8,9)     


LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.1, 1.0, 1.1, 6.4, 1.2
***
Danby (HWW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  172, 152, 149, 740, 200
GDDstress, 150, 200, 180, 125, 145, 40,  133, 118, 149, 624, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.5, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.3, 1.1, 1.4, 5.9, 1.2
***
Goodstreak (HRW,MM,T)
GDD,       100, 200, 180, 125, 150, 30,  173, 153, 145, 720, 200
GDDstress, 150, 200, 180, 125, 145, 40,  136, 120, 125, 692, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.5, 1.4, 6.9, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.3, 1.1, 1.2, 6.6, 1.2
***
Hatcher (HRW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  170, 150, 138, 791, 200
GDDstress, 150, 200, 180, 125, 145, 40,  127, 113, 124, 698, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.4, 1.3, 7.5, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.2, 6.6, 1.2
***
Jagalene (HRW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  169, 149, 156, 730, 200
GDDstress, 150, 200, 180, 125, 145, 40,  121, 107, 151, 606, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.4, 1.5, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.0, 1.4, 5.8, 1.2
***
Jagger (HRW,EM,M)
GDD,       100, 200, 180, 125, 150, 30,  153, 135, 127, 730, 200
GDDstress, 150, 200, 180, 125, 145, 40,  102,  90, 127, 642, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.3, 1.2, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.0, 0.9, 1.2, 6.1, 1.2
***
Keota (HRW,MM,M)
GDD,       100, 200, 180, 125, 150, 30,  162, 144, 135, 739, 200
GDDstress, 150, 200, 180, 125, 145, 40,  125, 111, 125, 603, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.3, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.2, 5.7, 1.2
***
NuDakota (HWW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  161, 143, 150, 731, 200
GDDstress, 150, 200, 180, 125, 145, 40,  119, 105, 130, 658, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.1, 1.0, 1.2, 6.3, 1.2
***
Platte (HWW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  178, 158, 161, 700, 200
GDDstress, 150, 200, 180, 125, 145, 40,  138, 122, 151, 613, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.7, 1.5, 1.5, 6.7, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.3, 1.2, 1.4, 5.8, 1.2
***
Prairie Red (HRW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  147, 131, 152, 740, 200
GDDstress, 150, 200, 180, 125, 145, 40,  101,  89, 136, 653, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.4, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.0, 0.9, 1.3, 6.2, 1.2
***
Prowers 99 (HRW,LM,T)
GDD,       100, 200, 180, 125, 150, 30,  178, 158, 152, 750, 200
GDDstress, 150, 200, 180, 125, 145, 40,  143, 127, 127, 662, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.7, 1.5, 1.4, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.4, 1.2, 1.2, 6.3, 1.2
***
Ripper (HRW,EM,M)
GDD,       100, 200, 180, 125, 150, 30,  148, 132, 140, 734, 200
GDDstress, 150, 200, 180, 125, 145, 40,  107,  95, 136, 637, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.3, 1.3, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.0, 0.9, 1.3, 6.1, 1.2
***
RonL (HWW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  167, 149, 147, 709, 200
GDDstress, 150, 200, 180, 125, 145, 40,  126, 112, 126, 633, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.4, 1.4, 6.8, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.2, 6.0, 1.2
***
Sandy (HRW,MM,T)
GDD,       100, 200, 180, 125, 150, 30,  174, 154, 138, 691, 200
GDDstress, 150, 200, 180, 125, 145, 40,  134, 118, 108, 681, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.7, 1.5, 1.3, 6.6, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.3, 1.1, 1.0, 6.5, 1.2
***
Snowmass (HWW,LM,M)
GDD,       100, 200, 180, 125, 150, 30,  170, 150, 146, 719, 200
GDDstress, 150, 200, 180, 125, 145, 40,  130, 116, 138, 637, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.6, 1.4, 1.4, 6.8, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.2, 1.1, 1.3, 6.1, 1.2
***
TAM112 (HRW,EM,M)
GDD,       100, 200, 180, 125, 150, 30,  136, 120, 158, 742, 200
GDDstress, 150, 200, 180, 125, 145, 40,  103,  91, 151, 645, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.3, 1.1, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.0, 0.9, 1.4, 6.1, 1.2
***
Yuma (HRW,MM,S)
GDD,       100, 200, 180, 125, 150, 30,  156, 138, 152, 727, 200
GDDstress, 150, 200, 180, 125, 145, 40,  117, 103, 114, 676, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.3, 1.4, 6.9, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.4, 1.1, 1.0, 1.1, 6.4, 1.2
***
Generic Old
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  555, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
2137
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  725, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  500, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 6.9, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 4.8, 1.2
***
Akron
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  700, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  565, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 6.7, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.4, 1.2
***
Alliance
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  775, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  555, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.4, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
Arlin
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  850, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  585, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 8.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.6, 1.2
***
Centurk
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  555, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
